evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-03|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-03,60,30,up,close,up,close,1,2026-06-03T14:07:00Z,1.1617,1.1618,1.1617,1.1617899999999999,1.16178,1.16203,1.1617899999999999,close,0.00025,0,up,-0.0002400000000001,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-04|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-04|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-04,60,30,up,close,up,close,1,2026-06-04T07:30:00Z,1.16059,1.16069,1.16059,1.16068,1.16061,1.16129,1.16068,close,0.00068,0,up,-0.00061,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-04|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-04|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-04,60,30,up,close,up,close,1,2026-06-04T14:03:00Z,1.16337,1.16349,1.1633499999999999,1.16345,1.16342,1.16434,1.16345,close,0.00092,0,up,-0.00089,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-05|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-05,60,30,up,close,up,close,1,2026-06-05T07:55:00Z,1.1616,1.16167,1.1616,1.16166,1.16165,1.16170,1.16166,close,0.00005,0,up,-0.00004,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-05|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-05,60,30,down,close,down,close,1,2026-06-05T14:02:00Z,1.1639,1.16393,1.16378,1.16378,1.16388,1.16354,1.16378,close,0.00034,0,down,-0.00024,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-08|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-08,60,30,up,wick,up,wick,1,2026-06-08T07:30:00Z,1.15334,1.15337,1.1532499999999999,1.15326,1.15335,1.15339,1.15337,high,0.00004,0,up,-0.00002,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-08|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-08,60,30,up,wick,up,wick,1,2026-06-08T14:11:00Z,1.15326,1.15334,1.15278,1.15282,1.15324,1.15422,1.15334,high,0.00098,0,up,-0.00088,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-09|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-09|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-09,60,30,up,close,up,close,1,2026-06-09T07:35:00Z,1.1541299999999999,1.15424,1.15412,1.15422,1.15420,1.15482,1.15422,close,0.00062,0,up,-0.00060,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-09|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-09|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-09,60,30,up,wick,up,wick,1,2026-06-09T14:05:00Z,1.15684,1.15693,1.15684,1.15692,1.15692,1.15726,1.15693,high,0.00034,0,up,-0.00033,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-10|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-10,60,30,down,close,down,close,1,2026-06-10T07:40:00Z,1.15469,1.15475,1.15454,1.15457,1.15467,1.15445,1.15457,close,0.00022,0,down,-0.00012,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-10|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-10,60,30,down,close,down,close,1,2026-06-10T14:03:00Z,1.15517,1.15518,1.15416,1.15424,1.15503,1.15361,1.15424,close,0.00142,0,down,-0.00063,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-06-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-06-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-06-11,60,30,up,close,up,close,1,2026-06-11T07:30:00Z,1.15467,1.15478,1.15467,1.1547399999999999,1.15473,1.15503,1.1547399999999999,close,0.00030,0,up,-0.0002900000000001,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-06-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-06-11|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-06-11,60,30,up,close,up,close,1,2026-06-11T14:00:00Z,1.15312,1.15321,1.15311,1.1532,1.15318,1.15395,1.1532,close,0.00077,0,up,-0.00075,1,0,first_break_bar_level,0
