outcome_shell_id,outcome_family,outcome_level,outcome_status,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,cross_distance_over_ib,next_required_evidence,failed_breakout_defined,retest_defined,reject_defined,day_type_defined
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-16,down,wick,2022-02-16T15:30:00Z,1.35392,0.00037,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-25,down,wick,2022-02-25T15:45:00Z,1.33817,0.00002,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-02,up,wick,2022-03-02T15:30:00Z,1.33342,0.00001,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-03|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-03,down,wick,2022-03-03T15:30:00Z,1.33733,0.00001,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-07|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-07,up,wick,2022-03-07T09:00:00Z,1.32218,0.00026,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-09,down,wick,2022-03-09T09:00:00Z,1.31106,0.00003,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-09,down,wick,2022-03-09T15:30:00Z,1.31367,0.00078,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-10,down,close,2022-03-10T16:15:00Z,1.31417,0.00154,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-11,down,close,2022-03-11T16:15:00Z,1.30772,0.00015,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-14,down,wick,2022-03-14T09:00:00Z,1.30126,0.00005,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-03-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-03-17,down,wick,2022-03-17T09:15:00Z,1.31477,0.00050,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
