candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-10|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-10,down,close,2021-09-10T07:30:00Z,1.38473,1.38477,1.38471,0.00006,61,1,2021-09-10T07:45:00Z,1.38304,0.00173,1.38319,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-10|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-10,up,wick,2021-09-10T14:00:00Z,1.38747,1.38738,1.38819,0.00081,39,1,2021-09-10T14:15:00Z,1.38879,0.00141,1.38297,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-13|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-13|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-13,down,close,2021-09-13T07:30:00Z,1.38299,1.38334,1.38211,0.00123,61,1,2021-09-13T15:00:00Z,1.37963,0.00371,1.38348,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-13|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-13,down,close,2021-09-13T14:00:00Z,1.38189,1.38245,1.38160,0.00085,55,1,2021-09-13T14:45:00Z,1.38129,0.00116,1.38394,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-14|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-14,down,close,2021-09-14T07:30:00Z,1.38419,1.38440,1.38382,0.00058,61,1,2021-09-14T08:15:00Z,1.38028,0.00412,1.38063,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-14|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-14,down,close,2021-09-14T14:00:00Z,1.38647,1.38652,1.38567,0.00085,55,1,2021-09-14T15:30:00Z,1.38018,0.00634,1.38028,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-15|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-15,up,wick,2021-09-15T07:30:00Z,1.38083,1.38082,1.38083,0.00001,61,1,2021-09-15T07:45:00Z,1.3853,0.00448,1.38453,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-15|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-15|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-15,down,close,2021-09-15T14:00:00Z,1.38175,1.38238,1.38143,0.00095,55,1,2021-09-15T14:45:00Z,1.38124,0.00114,1.38481,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-16,down,wick,2021-09-16T07:30:00Z,1.38314,1.38315,1.38314,0.00001,61,1,2021-09-16T07:45:00Z,1.37639,0.00676,1.37923,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-16,up,wick,2021-09-16T14:00:00Z,1.38281,1.38258,1.38301,0.00043,55,1,2021-09-16T14:15:00Z,1.38405,0.00147,1.37838,0,same_local_date_after_or_break_only
