symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-03-14T14:00:00Z,1.08949,1.09094,1.08875,1.08968
EURUSD,H1,2025-03-14T15:00:00Z,1.08968,1.09115,1.08901,1.08948
EURUSD,H1,2025-03-14T16:00:00Z,1.08948,1.08981,1.08703,1.08738
EURUSD,H1,2025-03-14T17:00:00Z,1.0874,1.08866,1.08655,1.08779
EURUSD,H1,2025-03-14T18:00:00Z,1.08779,1.08868,1.08669,1.08715
EURUSD,H1,2025-03-14T19:00:00Z,1.08715,1.08899,1.08706,1.08832
EURUSD,H1,2025-03-14T20:00:00Z,1.0883099999999999,1.08881,1.08791,1.08823
EURUSD,H1,2025-03-14T21:00:00Z,1.08823,1.08864,1.08734,1.08802
EURUSD,H1,2025-03-14T22:00:00Z,1.08802,1.08847,1.08784,1.0883
EURUSD,H1,2025-03-14T23:00:00Z,1.0883,1.08859,1.08794,1.08802
EURUSD,H1,2025-03-17T00:00:00Z,1.08771,1.08819,1.08706,1.088
EURUSD,H1,2025-03-17T01:00:00Z,1.088,1.08854,1.08748,1.08815
EURUSD,H1,2025-03-17T02:00:00Z,1.08815,1.08855,1.08793,1.08796
EURUSD,H1,2025-03-17T03:00:00Z,1.08796,1.08829,1.08755,1.08795
EURUSD,H1,2025-03-17T04:00:00Z,1.08795,1.08903,1.08742,1.0883
EURUSD,H1,2025-03-17T05:00:00Z,1.0883,1.08859,1.08795,1.08813
EURUSD,H1,2025-03-17T06:00:00Z,1.08813,1.08863,1.0877,1.08836
EURUSD,H1,2025-03-17T07:00:00Z,1.08836,1.0894,1.08778,1.08822
EURUSD,H1,2025-03-17T08:00:00Z,1.08822,1.08824,1.08738,1.08775
EURUSD,H1,2025-03-17T09:00:00Z,1.08775,1.08844,1.08733,1.08779
EURUSD,H1,2025-03-17T10:00:00Z,1.08779,1.08846,1.08686,1.08763
EURUSD,H1,2025-03-17T11:00:00Z,1.08763,1.08869,1.08707,1.08838
EURUSD,H1,2025-03-17T12:00:00Z,1.08838,1.09005,1.08771,1.08999
EURUSD,H1,2025-03-17T13:00:00Z,1.08999,1.091,1.08965,1.09078
EURUSD,H1,2025-03-17T14:00:00Z,1.09078,1.09119,1.08962,1.09021
EURUSD,H1,2025-03-17T15:00:00Z,1.09021,1.09074,1.08875,1.09018
EURUSD,H1,2025-03-17T16:00:00Z,1.09018,1.09065,1.08972,1.0905
EURUSD,H1,2025-03-17T17:00:00Z,1.0905,1.09185,1.09022,1.09161
EURUSD,H1,2025-03-17T18:00:00Z,1.09161,1.09297,1.09157,1.09215
EURUSD,H1,2025-03-17T19:00:00Z,1.09215,1.09262,1.09144,1.09212
EURUSD,H1,2025-03-17T20:00:00Z,1.09212,1.09239,1.09117,1.09142
EURUSD,H1,2025-03-17T21:00:00Z,1.09142,1.09264,1.09128,1.09253
EURUSD,H1,2025-03-17T22:00:00Z,1.09253,1.09254,1.09185,1.09207
EURUSD,H1,2025-03-17T23:00:00Z,1.09207,1.09278,1.09204,1.09214
EURUSD,H1,2025-03-18T00:00:00Z,1.09218,1.09222,1.0915,1.09215
EURUSD,H1,2025-03-18T01:00:00Z,1.09215,1.0923,1.09193,1.09213
EURUSD,H1,2025-03-18T02:00:00Z,1.09213,1.09219,1.0918,1.09181
EURUSD,H1,2025-03-18T03:00:00Z,1.09181,1.09212,1.09151,1.0916
EURUSD,H1,2025-03-18T04:00:00Z,1.0916,1.09191,1.09123,1.09135
EURUSD,H1,2025-03-18T05:00:00Z,1.09135,1.09162,1.0908,1.09087
